day,portfolio_value,raw_reward,risk_adjusted_reward,volatility_metric,risk_penalty
0,1000000.0,0.0,0.0,0.0,0.0
1,999968.7496750029,-0.003125032499711961,-4.3280578630833535,3.202496529136137,2.8822468762225233
2,999796.2594598274,-0.017249021517543588,-4.347553242261012,3.2012442296182937,2.8811198066564643
3,1000679.9872177847,0.08837277579572983,-2.854610824801972,3.2699817784418914,2.942983600597702
4,999865.0462696721,-0.0814940948112635,-4.556819490917267,3.284872850889164,2.9563855658002476
5,1000067.8623229023,0.020281605323019904,-2.8892081087054002,3.2327663489204665,2.90948971402842
6,1000236.6003075636,0.016873798466124572,-2.874192574212027,3.212295969642391,2.891066372678152
7,1000881.9590635756,0.06453587560120505,-2.8227892804006642,3.208139062224299,2.8873251560018693
8,1001282.025758522,0.040006669494637756,-2.8670347609516025,3.230046033829156,2.9070414304462404
9,1000191.1677587968,-0.1090857999725151,-4.6035115550456,3.2888021148791315,2.9599219033912183
10,997147.9595669289,-0.30432081918679177,-4.977942643117721,3.3492306772870615,3.0143076095583554
11,996492.8383304367,-0.06551212364921813,-4.6287599803933,3.355919848088499,3.020327863279649
12,998151.1204461668,0.16582821157301078,-2.859440178142566,3.3614093219061965,3.0252683897155768
13,998784.0161437033,0.06328956975364126,-2.945339476065442,3.3429211620212036,3.008629045819083
14,999743.5964957159,0.09595803520126502,-3.0274195435035245,3.4704195318942106,3.1233775787047895
15,1000222.2878135487,0.04786913178327959,-3.0840137864189243,3.47986990911356,3.131882918202204
16,1001544.341399261,0.13220535857123322,-2.977197986798917,3.4548926059668332,3.10940334537015
17,998854.4155588946,-0.2689925840366399,-5.056215087763775,3.446463860525048,3.1018174744725435
18,997353.2014352832,-0.15012141236114548,-4.834430001259763,3.4142576909022555,3.07283192181203
19,997594.0307083696,0.024082927308639045,-3.079651799788473,3.4485941412190133,3.103734727097112
20,996519.3444899172,-0.10746862184524071,-4.882207075273043,3.4970401055593943,3.147336095003455
21,991628.7532722466,-0.489059121767059,-5.620048578062822,3.61959992252758,3.2576399302748222
22,992183.8828536484,0.05551295814018231,-3.2108139876304618,3.6292521619673823,3.2663269457706443
23,992966.4781489022,0.07825952952537919,-3.120225171979346,3.5538718905608055,3.198484701504725
24,993935.5880100739,0.0969109861171688,-3.1160549377238533,3.5699621376011352,3.212965923841022
25,992629.2397616606,-0.13063482484132982,-4.950687676703271,3.5220262514379823,3.169823626294184
