day,portfolio_value,raw_reward,risk_adjusted_reward,volatility_metric,risk_penalty
39,995964.8609387896,-0.007454543190961704,-1.5548470655937012,3.0947850448054792,1.5473925224027396
40,997361.0642846795,0.13962033458899242,-1.4019790966332002,3.083198862444385,1.5415994312221926
41,999588.6516830083,0.22275873983288186,-1.3074681334058798,3.060453746477523,1.5302268732387616
42,999497.8478648434,-0.009080381816485896,-1.5115567451399377,3.0049527266469034,1.5024763633234517
43,995942.0771643602,-0.3555770700483234,-1.8764265375513824,3.041698935006118,1.520849467503059
44,996110.8012329142,0.016872406855400188,-1.479704023943136,2.9931528615970726,1.4965764307985363
45,993411.4140124246,-0.26993872204895597,-1.818573343973802,3.0972692438496923,1.5486346219248461
46,990315.5247359335,-0.3095889276491129,-1.9071603607856527,3.1951428662730796,1.5975714331365398
47,987812.8448943045,-0.2502679841628997,-1.9072641305992954,3.3139922928727916,1.6569961464363958
48,990501.8596629126,0.2689014768608031,-1.411106603862916,3.3600161614474384,1.6800080807237192
49,987590.9072445871,-0.2910952418325469,-2.0302808338971645,3.4783711841292355,1.7391855920646178
50,990519.8499743653,0.2928942729778239,-1.476243489490789,3.5382755249372257,1.7691377624686129
51,987153.0642193492,-0.3366785755016143,-2.106117318976975,3.538877486950721,1.7694387434753605
52,990048.1317846357,0.2895067565286532,-1.4712976389734425,3.5216087910041916,1.7608043955020958
53,992366.3265672285,0.2318194782592822,-1.5160124122524368,3.495663781023438,1.747831890511719
54,989331.4678524211,-0.30348587148074296,-2.0650943430904056,3.523216943219325,1.7616084716096625
55,989242.4111622203,-0.008905669020081405,-1.7721606757439257,3.5265100134476883,1.7632550067238442
56,989753.0826451934,0.051067148297315,-1.6940612282222294,3.490256753039089,1.7451283765195444
57,992837.5540131896,0.3084471367996186,-1.4191375357104463,3.45516934502013,1.727584672510065
58,991357.4051087822,-0.1480148904407397,-1.835603609397743,3.3751774379140067,1.6875887189570034
59,992792.5041263737,0.14350990175914485,-1.5111161321015198,3.3092520677213293,1.6546260338606646
60,993972.3764726986,0.11798723463249626,-1.4950451185258877,3.226064706316768,1.613032353158384
61,996774.9479387193,0.2802571466020658,-1.3063427923901199,3.1731998779843713,1.5865999389921857
62,1000832.7036175027,0.4057755678783404,-1.190019312992608,3.1915897617418967,1.5957948808709483
63,999453.3847418999,-0.13793188756027958,-1.7269138591741167,3.1779639432276743,1.5889819716138371
64,1001401.3618260865,0.19479770841866267,-1.3932248684474053,3.176045153732136,1.588022576866068
65,1001927.5915505968,0.05262297245102236,-1.5110446979472334,3.1273353407965114,1.5636676703982557
66,1003134.4328012338,0.12068412506370806,-1.4246149893329354,3.090598228793287,1.5452991143966435
67,1004843.5905209166,0.17091577196827856,-1.344442130605267,3.030715805147091,1.5153579025735455
68,1004880.6024154212,0.0037011894504539672,-1.4971977302876527,3.0017978394762133,1.5008989197381066
69,1007119.5405470147,0.22389381315935172,-1.2734235811787462,2.994634788676196,1.497317394338098
70,1003781.9264525437,-0.3337614094470977,-1.8526560236286755,3.0377892283631556,1.5188946141815778
71,1003777.8475508332,-0.00040789017104543747,-1.4934555653712778,2.986095350400465,1.4930476752002324
72,1002473.471319943,-0.13043762308902807,-1.6116110208121186,2.962346795446181,1.4811733977230905
73,998554.0614402624,-0.39194098796806065,-1.871012078260873,2.9581421805856247,1.4790710902928124
74,998314.2680690635,-0.02397933711988153,-1.4969543505971543,2.9459500269545456,1.4729750134772728
75,997915.5280204318,-0.03987400486317929,-1.4960452444460903,2.912342479165822,1.456171239582911
76,999044.2638309405,0.11287358105087188,-1.3163331619145529,2.8584134859308494,1.4292067429654247
77,996724.1797001614,-0.23200841307790251,-1.662937082980018,2.861857339804231,1.4309286699021155
78,993873.8186124119,-0.2850361087749596,-1.7518478868746665,2.933623556199414,1.466811778099707
79,998468.3029438367,0.4594484331424814,-1.0297044661159012,2.9783057985167654,1.4891528992583827
80,1000771.4886856277,0.23031857417910362,-1.2490257838088452,2.9586887159758977,1.4793443579879488
81,999526.4801246173,-0.12450085610103562,-1.584397281829329,2.9197928514565867,1.4598964257282934
82,995044.0796839816,-0.4482400440635742,-1.9318035734796095,2.967127058832071,1.4835635294160354
83,992336.1398173833,-0.2707939866598346,-1.7507158217225902,2.9598436701255113,1.4799218350627557
84,988553.4971538816,-0.3782642663501669,-1.8705596749495759,2.984590817198818,1.492295408599409
85,993039.0174230771,0.4485520269195549,-1.0513631306623645,2.999830315163839,1.4999151575819194
86,992223.2518334509,-0.08157655896262732,-1.549514085989774,2.9358750540542933,1.4679375270271466
87,991556.3199285932,-0.0666931904857629,-1.5112876178952785,2.8891888548190314,1.4445944274095157
88,989828.0754153313,-0.1728244513261947,-1.627940955735693,2.9102330088189965,1.4551165044094982
89,988060.2984617067,-0.17677769536245616,-1.618441097641938,2.8833268045589637,1.4416634022794819
90,988394.2034566789,0.03339049949721666,-1.3854958697121933,2.83777273841882,1.41888636920941
91,989579.3409401613,0.11851374834823655,-1.273818036681643,2.784663570059759,1.3923317850298795
92,986217.579154986,-0.33617617851753023,-1.7212340006708353,2.7701156443066104,1.3850578221533052
93,992813.8107082124,0.6596231553226477,-0.7427462220865231,2.8047387548183416,1.4023693774091708
94,992187.220044644,-0.0626590663568466,-1.4592315536155183,2.793144974517343,1.3965724872586716
95,991013.3918294817,-0.11738282151622698,-1.5056829501260476,2.7766002572196413,1.3883001286098207
96,991759.4448706689,0.07460530411872314,-1.3134796149756274,2.776169838188701,1.3880849190943505
97,989323.4543438611,-0.24359905268078438,-1.6404811830570416,2.7937642607525146,1.3968821303762573
98,986578.0195098079,-0.2745434834053158,-1.653915571943232,2.7587441770758323,1.3793720885379162
99,986822.6091461281,0.024458963632013185,-1.360017724796344,2.7689533768567145,1.3844766884283572
100,994294.9977342227,0.7472388588094618,-0.6439869407269951,2.782451599072914,1.391225799536457
101,994587.4308159621,0.02924330817394657,-1.355024174762854,2.768534965873601,1.3842674829368005
102,996087.1221720012,0.1499691356039024,-1.2445266023387576,2.78899147588532,1.39449573794266
103,996272.2785563756,0.018515638437448072,-1.4002039791174596,2.8374392351098154,1.4187196175549077
104,1003649.6699202749,0.7377391363899224,-0.7341643983667951,2.943807069513435,1.4719035347567175
105,1000369.8041363278,-0.32798657839470546,-1.7868546631518707,2.9177361695143302,1.4588680847571651
106,1000382.9473064692,0.0013143170141382144,-1.4765536825018442,2.955735999031965,1.4778679995159825
107,1003651.4736510566,0.32685263445874446,-1.1682125139594763,2.9901302968364414,1.4950651484182207
108,1007638.8232445796,0.39873495935229586,-1.084040145961501,2.965550210627594,1.482775105313797
109,1008584.1938347991,0.0945370590219507,-1.3625677978813022,2.914209713806506,1.457104856903253
110,1012793.6055317387,0.4209411696939613,-1.0207264055357146,2.883335150459352,1.441667575229676
111,1014595.9391379706,0.18023336062318412,-1.2478490342780357,2.8561647898024396,1.4280823949012198
112,1003215.7939274182,-1.138014521055238,-2.6300463852344587,2.984063728358442,1.492031864179221
113,1007472.5886988491,0.4256794771430898,-1.0787261724822814,3.0088112992507425,1.5044056496253713
114,1004612.0008475689,-0.286058785128023,-1.7803733667358848,2.9886291632157236,1.4943145816078618
115,1001067.7119993289,-0.3544288848239929,-1.8589463809851794,3.009034992322373,1.5045174961611865
116,998421.577994591,-0.2646134004737949,-1.7589292569223387,2.988631712897088,1.494315856448544
117,995026.7085737727,-0.3394869420818286,-1.8240397702642555,2.969105656364854,1.484552828182427
118,991775.5266364749,-0.3251181937297806,-1.7887341030342634,2.9272318186089654,1.4636159093044827
119,991672.6631163333,-0.010286352014157455,-1.4727111703003637,2.9248496365724126,1.4624248182862063
120,995564.9790211756,0.38923159048423406,-1.0547574694175514,2.887978119803571,1.4439890599017855
121,993034.0420946124,-0.25309369265632703,-1.6783408906742638,2.8504943960358737,1.4252471980179369
122,998731.5486261448,0.5697506531532388,-0.8485435711608325,2.8365884486281425,1.4182942243140713
123,1000954.1707979968,0.22226221718520392,-1.18185873588346,2.808241906137328,1.404120953068664
124,1002283.7368395121,0.13295660415153251,-1.2430226184718167,2.7519584452466983,1.3759792226233492
125,996590.4953457683,-0.5693241493743845,-1.9301502473460723,2.7216521959433755,1.3608260979716877
126,990512.3245494331,-0.6078170796335209,-1.9853197089681256,2.7550052586692093,1.3775026293346047
127,988133.3339408992,-0.23789906085338444,-1.6138017925549437,2.7518054634031186,1.3759027317015593
128,991155.0858676417,0.3021751926742494,-1.0612697251814311,2.726889835711361,1.3634449178556804
129,996402.5673082507,0.5247481440608972,-0.8391577374932657,2.727811763108326,1.363905881554163
130,994172.2145001644,-0.2230352808086318,-1.6074188608684494,2.7687671601196353,1.3843835800598177
131,994140.2252697682,-0.003198923039622605,-1.3670441796599966,2.727690513240748,1.363845256620374
132,1002658.5003381084,0.8518275068340241,-0.5450939055421754,2.793842824752399,1.3969214123761995
133,1006264.2644223904,0.3605764084281982,-1.0228643488349622,2.766881514526321,1.3834407572631604
134,1018530.0727202152,1.2265808297824814,-0.202467534477355,2.858096728519673,1.4290483642598364
135,1021158.9872181627,0.2628914497947553,-1.1749483739962145,2.8756796475819395,1.4378398237909698
136,1027319.1497719157,0.6160162553753006,-0.8508668662734822,2.9337662432975655,1.4668831216487828
137,1027261.2027306063,-0.005794704130943865,-1.4702215996975014,2.928853791133115,1.4644268955665576
138,1032152.9707125514,0.48917679819450716,-0.9646634216366972,2.9076804396624087,1.4538402198312044
139,1030799.1932304003,-0.1353777482151054,-1.5915650613871226,2.912374626344034,1.456187313172017
140,1036845.2930498468,0.6046099819446449,-0.8751620511486584,2.9595440661866066,1.4797720330933033
141,1033546.7007620317,-0.329859228781506,-1.8233859143189282,2.987053371074844,1.493526685537422
142,1035623.671576706,0.2076970814674278,-1.284530563876318,2.9844552906874915,1.4922276453437457
143,1038492.5311475792,0.2868859570873203,-1.1934664880705086,2.960704890315658,1.480352445157829
144,1039045.350203598,0.05528190560188378,-1.4299800528409625,2.9705239168856927,1.4852619584428464
145,1031376.7940842742,-0.7668556119323825,-2.2637610053699606,2.9938107868751564,1.4969053934375782
146,1033257.850843216,0.18810567589417335,-1.280830786030291,2.9378729238489285,1.4689364619244643
147,1032189.4224190256,-0.10684284241903806,-1.590165730266686,2.966645775695296,1.483322887847648
148,1039934.4824246713,0.7745060005645734,-0.7003525351484778,2.9497170714261025,1.4748585357130513
149,1033151.2095228615,-0.6783272901809775,-2.1676921663688486,2.9787297523757426,1.4893648761878713
150,1026689.8905350838,-0.646131898777769,-2.113257521866191,2.934251246176844,1.467125623088422
151,1026752.2666223489,0.006237608726508916,-1.467461035331269,2.947397288115556,1.473698644057778
152,1029088.1916888505,0.23359250665016007,-1.2092986080054702,2.8857822293112605,1.4428911146556302
153,1029896.2228548127,0.0808031165962224,-1.3355321285329442,2.8326704902583333,1.4163352451291666
154,1020919.6052991524,-0.8976617555660312,-2.3163898793389945,2.8374562475459264,1.4187281237729632
155,1014927.7441495324,-0.5991861149620032,-2.0074772576895237,2.8165822854550404,1.4082911427275202
